P,S
24,32
18,27
36,19
30,31
24,28
54,45
30,20
24,29
36,18
30,38
30,18
30,45
30,18
30,43
24,18
24,18
24,18
36,18
36,18
30,18
30,18
30,18
30,32
30,30
30,18
30,18
36,18
30,18
30,18
42,18
36,18
30,18
30,18
30,18
30,18
48,24
42,24
42,24
42,24
42,24
36,24
36,24
30,24
30,24
30,24
30,24
30,24
30,24
42,24
42,24
42,24
36,24
36,24
30,24
30,24
24,24
48,24
42,24
42,24
36,24
36,24
6,24
36,24
36,24
36,24
36,24
30,24
12,24
36,24
30,24
30,24
60,30
48,30
48,30
48,30
42,30
42,30
42,30
42,30
42,30
42,30
42,30
42,30
42,30
36,30
36,30
36,30
36,30
36,30
36,30
36,30
36,30
36,30
36,30
36,30
36,30
36,30
24,30
36,30
42,30
42,30
42,30
42,30
36,30
36,30
36,30
36,30
36,30
36,30
36,30
30,30
30,30
30,30
30,30
30,30
30,30
18,30
60,30
54,30
48,30
48,30
48,30
42,30
42,30
42,30
42,30
36,30
36,30
36,30
36,30
36,30
36,30
36,30
36,30
36,30
36,30
36,30
36,30
36,30
30,30
30,30
30,30
30,30
30,30
30,30
30,30
30,30
30,30
30,30
30,30
30,30
30,30
30,30
24,30
24,30
54,30
42,30
42,30
36,30
36,30
36,30
36,30
36,30
36,30
36,30
30,30
30,30
30,30
54,36
54,36
48,36
48,36
48,36
42,36
42,36
36,36
30,36
30,36
30,36
30,36
54,36
54,36
48,36
48,36
48,36
42,36
42,36
42,36
36,36
36,36
36,36
36,36
36,36
36,36
30,36
30,36
30,36
30,36
42,36
60,36
60,36
54,36
54,36
48,36
48,36
48,36
48,36
48,36
48,36
42,36
42,36
42,36
42,36
42,36
42,36
42,36
36,36
36,36
36,36
36,36
36,36
36,36
36,36
36,36
30,36
30,36
30,36
30,36
30,36
60,36
60,36
48,36
48,36
42,36
42,36
42,36
42,36
36,36
36,36
36,36
30,36
60,42
60,42
54,42
48,42
48,42
42,42
42,42
42,42
36,42
36,42
36,42
36,42
36,42
36,42
30,42
30,42
60,42
60,42
54,42
48,42
48,42
48,42
42,42
42,42
42,42
42,42
42,42
36,42
60,42
60,42
54,42
54,42
54,42
48,42
48,42
48,42
42,42
42,42
42,42
42,42
36,42
36,42
36,42
30,42
54,42
48,42
42,42
36,42
60,48
60,48
54,48
54,48
48,48
42,48
42,48
36,48
36,48
60,48
60,48
54,48
60,48
60,48
54,48
48,48
48,48
48,48
48,48
48,48
42,48
36,48
36,48
60,48
60,48
48,48
48,48
48,48
60,54
42,54
42,54
30,54
54,54
54,54
42,54
42,54
42,54
60,54
54,54
54,54
54,54
30,54
60,54
60,54
60,54
60,54
60,54
60,54
54,54
48,54
48,54
48,54
42,54
42,54
60,60
60,60
48,60
60,60
60,60
60,60
60,60
54,60
54,60
48,60
54,60
